GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Car-Accessories,org.sates,ManageAccountsState,45,83,3,5,10,16,5,3,2,2
Car-Accessories,org.sates,CustomerDashboardState,0,99,0,6,0,18,0,9,0,4
Car-Accessories,org.sates,AddCategoryState,43,26,5,1,9,9,5,2,2,2
Car-Accessories,org.sates,ManageInstallationAppointmentState,37,95,2,6,8,19,3,5,1,3
Car-Accessories,org.sates,InstallationRequestsState,37,50,2,2,8,12,4,2,2,2
Car-Accessories,org.sates,InstallerDashboardState,23,69,0,5,4,12,1,7,1,3
Car-Accessories,org.sates,NotificationCenterState,24,116,3,13,4,18,4,8,1,3
Car-Accessories,org.sates,AddAppointmentState,127,98,10,14,17,24,6,11,1,4
Car-Accessories,org.sates,ScheduleOfAppointmentsState,37,50,2,2,8,12,4,2,2,2
Car-Accessories,org.sates,ViewInstallationHistoryState,26,12,0,0,5,5,2,2,2,2
Car-Accessories,org.sates,StartState,18,66,3,4,3,15,3,7,0,4
Car-Accessories,org.sates,ProductListingState,116,82,16,6,13,19,13,2,2,2
Car-Accessories,org.sates,UpdateAccountState,17,15,0,0,4,6,1,3,1,3
Car-Accessories,org.sates,SignUpState,22,36,1,1,6,9,2,3,1,3
Car-Accessories,org.sates,ProductCatalogState,6,33,0,0,2,7,1,3,1,3
Car-Accessories,org.sates,SearchProductState,24,67,4,2,2,15,3,4,0,4
Car-Accessories,org.sates,ProductCrudState,48,103,3,7,11,20,5,4,2,2
Car-Accessories,org.sates,UpdateAppointmentState,17,15,0,0,4,6,1,3,1,3
Car-Accessories,org.sates,UpdateCategoryState,19,34,1,1,5,9,3,3,2,3
Car-Accessories,org.sates,UpdateProductState,17,15,0,0,4,6,1,3,1,3
Car-Accessories,org.sates,AddProductState,65,52,6,2,11,11,5,3,1,3
Car-Accessories,org.sates,AdminDashboardState,0,88,0,6,0,17,0,9,0,4
Car-Accessories,org.sates,ManageCategoriesState,54,91,4,8,10,17,6,4,2,2
Car-Accessories,org.sates,ManageProductsState,6,33,0,0,2,7,1,3,1,3
Car-Accessories,org.sates,ViewOrderHistoryState,26,12,0,0,5,5,2,2,2,2
Car-Accessories,org.sates,ProfileState,46,54,1,4,8,10,3,5,2,2
Car-Accessories,org.sates,LoginState,22,28,1,1,6,9,2,3,1,3
Car-Accessories,org.data,DataBase,15,598,0,10,2,90,2,38,2,33
Car-Accessories,org.data,Category,19,36,2,0,4,13,3,6,2,6
Car-Accessories,org.data,Time,32,51,9,0,11,9,9,1,1,1
Car-Accessories,org.data,User,6,102,0,0,2,35,2,16,2,16
Car-Accessories,org.data,Appointment,22,80,1,1,5,29,4,16,3,16
Car-Accessories,org.data,Product,11,100,1,3,1,35,1,19,0,18
Car-Accessories,org.car,SignUp,0,56,5,7,0,14,5,3,0,2
Car-Accessories,org.car,Main,10,0,0,0,4,0,2,0,2,0
Car-Accessories,org.car,App,126,765,51,79,22,168,50,51,3,33
Car-Accessories,org.car,Error,25,44,5,5,6,11,5,7,2,3
Car-Accessories,org.car,Login,0,19,0,2,0,7,0,3,0,2
Car-Accessories,org.car,Cli,2026,34,146,0,413,13,117,8,44,8
